name,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,Borough
Prime Upper east~2BR~ newly furnished,94%,91%,54.0,54.0,t,Upper East Side,40.7738,-73.94934,4,2.0,2.0,$145.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,2,32,122,2,2,0,3.0,2.5,3.0,3.0,4.0,4.5,3.0,54,54,0,0,0.2,0,1,1,0,Manhattan
Wonderful 3 bed 1.5 baths 20 Mins to Times Square!,100%,75%,2.0,2.0,t,Washington Heights,40.85066,-73.93683,7,3.0,4.0,$181.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,23,53,83,358,1,0,0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2,2,0,0,0.04,0,1,1,0,Manhattan
"Private room at Roselle, in the Bronx",100%,92%,5.0,5.0,t,Westchester Square,40.84449,-73.84875,2,1.0,1.0,$95.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,25,55,85,174,25,2,2,5.0,4.96,4.92,5.0,5.0,4.8,4.96,2,0,2,0,0.92,1,1,1,1,Bronx
"Newly renovated 1 bedroom, steps to Prospect Park",100%,100%,2.0,2.0,t,Windsor Terrace,40.65733,-73.98038,3,1.0,1.0,$131.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,30,2,1,4.9,4.9,4.9,4.97,4.9,4.93,4.87,1,1,0,0,1.12,1,1,1,1,Brooklyn
Sunny bedroom in a designer apartment,100%,96%,1.0,1.0,t,Sunnyside,40.74524,-73.92005,2,1.0,2.0,$82.00 ,5,14,3.0,5.0,14.0,14.0,5.0,14.0,4,6,27,117,133,12,2,4.9,4.94,4.91,4.98,4.97,4.86,4.92,1,0,1,0,3.32,1,1,1,0,Queens
❤️Couples Retreat/A Road Warriors Dream🌟Perf Loc.,100%,92%,1.0,1.0,t,Hell's Kitchen,40.76349,-73.98949,2,1.0,1.0,$234.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,15,23,47,302,121,36,2,4.87,4.86,4.73,4.94,4.87,4.95,4.79,1,1,0,0,3.38,1,1,1,0,Manhattan
Cozy Room with Private Insuite Bathroom,100%,100%,7.0,7.0,t,Bedford-Stuyvesant,40.69599,-73.93435,2,1.0,1.0,$96.00 ,7,89,2.0,7.0,1125.0,1125.0,7.0,1125.0,12,42,72,72,54,24,2,4.94,4.96,4.89,4.93,4.98,4.83,4.76,4,0,4,0,1.27,1,1,1,1,Brooklyn
"Luxury Tribeca 1BR w/ Gym, Doorman + Roof deck by Blueground",100%,98%,1987.0,1987.0,t,Tribeca,40.71279,-74.00998,2,1.0,1.0,$413.00 ,30,1125,31.0,730.0,1125.0,1125.0,711.7,1125.0,0,0,30,305,1,1,0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,304,304,0,0,0.19,0,1,1,1,Manhattan
High End Hilton Studio near Central Park,100%,61%,41.0,41.0,t,Midtown,40.76527,-73.97744,2,,1.0,$374.00 ,1,7,1.0,1.0,7.0,7.0,1.0,7.0,15,33,63,63,13,3,1,5.0,5.0,5.0,5.0,4.92,5.0,4.83,3,2,0,0,0.31,1,1,1,0,Manhattan
Summer escape in Brighton Beach,100%,80%,2.0,2.0,t,Brighton Beach,40.5768,-73.95472,3,1.0,2.0,$150.00 ,30,30,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,89,89,25,1,0,4.75,4.75,4.83,4.92,4.96,5.0,4.92,3,2,1,0,1.04,0,1,1,1,Brooklyn
