name,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,Borough
Private Room in Modern Duplex + Lots of Sunlight,100%,71%,3.0,3.0,t,Bedford-Stuyvesant,40.69322,-73.94348,3,1.0,1.0,$200.00 ,2,29,2.0,2.0,29.0,29.0,2.0,29.0,28,58,88,88,15,0,0,4.73,4.67,4.8,4.67,4.67,4.33,4.6,3,1,2,0,0.35,1,1,1,0,Brooklyn
"Prewar building, CLASSIC location!",100%,70%,1.0,1.0,t,Hell's Kitchen,40.76802,-73.98399,2,1.0,1.0,$145.00 ,2,5,2.0,2.0,5.0,5.0,2.0,5.0,0,0,0,0,50,1,0,4.96,4.98,4.94,4.9,5.0,5.0,4.84,1,0,1,0,1.97,1,1,1,0,Manhattan
Joy's Luxury Apartment with Free Parking Space,100%,90%,1.0,1.0,t,Canarsie,40.63298,-73.90781,5,1.0,3.0,$138.00 ,1,30,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,56,86,143,50,14,1,4.33,4.33,4.41,4.65,4.61,4.53,4.16,1,1,0,0,1.32,0,1,1,1,Brooklyn
Harlem Jewel + Extra Travel Bonus,91%,100%,2.0,2.0,t,Harlem,40.814148,-73.943657,4,1.0,4.0,$128.00 ,30,120,30.0,30.0,120.0,120.0,30.0,120.0,11,18,48,138,96,2,0,4.89,4.96,4.95,4.98,4.94,4.75,4.81,3,3,0,0,2.54,0,0,1,0,Manhattan
New tidy  room attached by PRIVATE FULL BATH,100%,82%,10.0,10.0,t,Flushing,40.75907,-73.81461,2,1.0,1.0,$58.00 ,3,29,3.0,3.0,1125.0,1125.0,3.0,1125.0,20,50,79,79,125,16,0,4.81,4.83,4.9,4.89,4.82,4.78,4.83,8,0,8,0,2.38,1,1,1,0,Queens
Beautiful brownstone just north of Central Park.,100%,100%,1.0,1.0,t,Harlem,40.80384,-73.94965,2,,1.0,$131.00 ,30,60,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,22,52,327,157,4,0,4.83,4.97,4.75,4.99,4.98,4.9,4.89,1,1,0,0,3.04,1,1,1,0,Manhattan
Lively SoHo/Quiet St/2 blocks Subway/Fast WiFi,100%,0%,3.0,3.0,t,Greenwich Village,40.72808,-74.00015,2,1.0,2.0,$215.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,26,56,86,361,119,0,0,4.8,4.81,4.86,4.97,4.96,4.99,4.79,4,2,2,0,3.22,0,1,1,0,Manhattan
A huge bedroom in Harlem,50%,85%,7.0,7.0,t,Harlem,40.82203,-73.94563,1,1.0,1.0,$37.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,1,31,306,8,1,0,4.75,4.88,4.5,4.63,5.0,4.63,4.5,8,0,8,0,0.21,0,0,1,0,Manhattan
Gorgeous and sunlit private bedroom in Park Slope,100%,100%,2.0,2.0,t,South Slope,40.66416,-73.98353,1,1.0,1.0,$76.00 ,30,60,30.0,30.0,60.0,60.0,30.0,60.0,0,7,28,70,12,0,0,4.92,5.0,4.83,5.0,5.0,4.92,4.92,2,1,1,0,0.23,0,0,1,0,Brooklyn
Prvt entrance room! 1 stop to Mdtwn Manhattan.,100%,75%,1.0,1.0,t,Long Island City,40.74165,-73.95469,2,1.0,2.0,$98.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,6,36,66,341,15,2,1,4.86,4.86,4.86,5.0,4.93,4.93,4.57,1,0,1,0,0.28,0,0,1,0,Queens
Studio w/ CV : Cleaning CDC guidelines implemented,94%,99%,52.0,52.0,t,Greenpoint,40.72712,-73.9419,2,,1.0,$129.00 ,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,272,3,2,0,5.0,5.0,5.0,5.0,5.0,4.5,4.0,46,45,0,0,0.14,0,1,1,0,Brooklyn
Tidy room  separate entrance plus paid parking,100%,82%,10.0,10.0,t,Flushing,40.7555,-73.81665,2,1.0,1.0,$52.00 ,3,29,3.0,3.0,1125.0,1125.0,3.0,1125.0,10,40,69,69,83,11,0,4.82,4.75,4.84,4.81,4.82,4.68,4.79,8,0,8,0,1.52,1,1,1,0,Queens
Your cozy home away from home.,100%,100%,1.0,1.0,t,East New York,40.65412,-73.88238,8,1.0,4.0,$105.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,180,59,0,0,4.46,4.44,4.51,4.78,4.8,4.38,4.41,1,0,1,0,1.52,0,1,1,0,Brooklyn
"Romantic Artist's Townhouse, 1 suite: 2 Bd, 1 Bath",100%,100%,1.0,1.0,t,Upper West Side,40.78757,-73.9721,4,2.0,4.0,$325.00 ,2,28,2.0,3.0,1125.0,1125.0,2.3,1125.0,4,9,32,276,109,4,2,4.99,4.94,4.98,5.0,4.98,4.99,4.9,1,0,1,0,2.05,0,1,1,1,Manhattan
Beautiful bright and big room in Williamsburg,70%,27%,3.0,3.0,t,Williamsburg,40.71166,-73.94473,2,1.0,1.0,$88.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0,2,0,0.02,0,1,1,0,Brooklyn
Cozy Large Private Master bedroom,100%,73%,3.0,3.0,t,Bedford-Stuyvesant,40.67994,-73.91418,1,1.0,1.0,$43.00 ,60,180,60.0,60.0,1125.0,1125.0,60.0,1125.0,0,23,53,81,17,2,0,4.69,4.94,4.44,5.0,5.0,4.69,4.94,3,0,3,0,0.32,1,0,1,1,Brooklyn
2 BR Loft: Cleaning CDC guidelines implemented,94%,99%,52.0,52.0,t,Greenpoint,40.72756,-73.94105,4,1.0,1.0,$199.00 ,30,90,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,1,31,306,3,0,0,5.0,5.0,5.0,5.0,4.67,5.0,5.0,46,45,0,0,0.08,0,1,1,0,Brooklyn
Gorgeous  Renovated 1BR - close to Central Park,100%,77%,1.0,1.0,t,East Harlem,40.79052,-73.9485,6,1.0,3.0,$103.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,13,15,36,288,140,4,0,4.71,4.75,4.57,4.73,4.85,4.82,4.7,1,1,0,0,2.64,0,0,1,0,Manhattan
studio ( Upper East Side ),49%,63%,175.0,175.0,t,Upper East Side,40.78118,-73.95306,3,,1.0,$100.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,12,42,72,347,6,2,0,5.0,5.0,4.83,5.0,4.67,5.0,4.83,175,175,0,0,0.17,0,1,1,0,Manhattan
Lovely room with a view.,90%,57%,2.0,2.0,t,Arverne,40.58947,-73.79298,2,1.0,1.0,$50.00 ,2,14,2.0,3.0,14.0,14.0,2.3,14.0,27,27,56,145,136,30,3,4.85,4.94,4.96,4.69,4.73,4.8,4.94,2,0,2,0,2.7,1,0,1,0,Queens
Little Haven in Brooklyn Redeux,0%,0%,2.0,2.0,t,Bedford-Stuyvesant,40.68208,-73.94965,6,1.0,3.0,$150.00 ,3,30,3.0,3.0,30.0,30.0,3.0,30.0,0,1,31,31,159,0,0,4.78,4.89,4.66,4.91,4.88,4.86,4.79,1,1,0,0,3.0,0,1,1,0,Brooklyn
"Beautiful, Two bedroom apartment Brooklyn P.L.G",100%,100%,2.0,2.0,t,Prospect-Lefferts Gardens,40.66146,-73.95063,6,2.0,3.0,$150.00 ,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,4,4,236,132,0,0,4.98,5.0,4.99,5.0,5.0,4.81,4.94,1,1,0,0,2.48,1,1,1,0,Brooklyn
Private Room By St. Barnabas Hospital/Fordham U!,100%,71%,2.0,2.0,t,Tremont,40.84618,-73.89336,2,1.0,1.0,$47.00 ,2,400,2.0,2.0,400.0,400.0,2.0,400.0,1,1,1,2,45,5,0,4.56,4.66,4.8,4.7,4.81,4.37,4.7,2,0,2,0,1.02,1,1,1,0,Bronx
"Bright, Beautiful Double Room",100%,71%,8.0,8.0,t,University Heights,40.85699,-73.91456,2,1.0,1.0,$55.00 ,2,8,2.0,2.0,8.0,8.0,2.0,8.0,18,18,18,18,80,11,2,4.63,4.84,4.45,4.85,4.88,4.55,4.59,4,0,4,0,1.61,0,1,1,0,Bronx
"Brooklyn Modern: Sunny 2BR, Sparkling Clean",100%,83%,1.0,1.0,t,Gowanus,40.67128,-73.98863,4,2.0,3.0,$210.00 ,30,92,30.0,30.0,92.0,92.0,30.0,92.0,0,0,27,86,144,4,0,5.0,5.0,5.0,5.0,5.0,4.95,4.94,1,1,0,0,2.75,1,1,1,0,Brooklyn
"Sunny Chelsea studio, queen bed, sleep loft, WiFi",100%,95%,19.0,19.0,t,Chelsea,40.74957,-73.99637,2,,2.0,$85.00 ,75,730,75.0,75.0,730.0,730.0,75.0,730.0,0,0,10,285,10,1,0,4.6,4.6,4.5,4.7,4.5,4.9,4.2,20,20,0,0,0.19,0,1,1,0,Manhattan
1+ Bedroom in Windsor Terrace near Prospect Park,90%,39%,1.0,1.0,t,Windsor Terrace,40.65306,-73.97432,4,1.0,4.0,$110.00 ,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,0,0,0,190,143,6,0,4.8,4.87,4.78,4.94,4.95,4.9,4.76,1,1,0,0,2.89,1,1,1,0,Brooklyn
"Huge Room, Top Floor Of Brownestone",71%,,3.0,3.0,t,Hell's Kitchen,40.76389,-73.99049,1,1.0,1.0,$125.00 ,30,60,30.0,30.0,60.0,60.0,30.0,60.0,12,42,72,72,37,0,0,4.68,4.84,4.41,4.89,4.92,4.97,4.7,3,1,2,0,0.71,0,1,1,0,Manhattan
Skylit Midtown Sanctuary,35%,18%,8.0,8.0,t,Hell's Kitchen,40.75534,-73.99223,1,,1.0,$150.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,17,47,322,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3,3,0,0,0.05,0,1,1,0,Manhattan
Brooklyn Royalty,100%,95%,2.0,2.0,t,East Flatbush,40.65041,-73.93508,2,1.0,1.0,$70.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,30,60,90,359,49,7,0,4.94,4.9,4.84,4.92,4.92,4.49,4.86,2,0,2,0,0.97,1,1,1,0,Brooklyn
Location! Location!,50%,85%,7.0,7.0,t,Harlem,40.8231,-73.94586,1,1.0,1.0,$36.00 ,30,365,30.0,30.0,1125.0,1125.0,30.0,1125.0,16,46,76,351,11,2,1,4.73,4.45,4.27,4.73,4.82,4.82,4.55,8,0,8,0,0.27,0,0,1,0,Manhattan
The Albany Residence,100%,50%,2.0,2.0,t,Crown Heights,40.67317,-73.93962,3,3.0,4.0,$95.00 ,4,365,4.0,4.0,365.0,365.0,4.0,365.0,0,0,0,33,7,0,0,4.17,4.33,4.17,4.17,4.5,4.33,4.17,3,2,1,0,0.27,0,1,1,0,Brooklyn
All New! Vanderbilt Suite,0%,14%,1.0,1.0,t,Prospect Heights,40.67966,-73.9687,8,2.0,6.0,$149.00 ,30,90,30.0,30.0,1125.0,1125.0,30.0,1125.0,13,13,40,40,67,0,0,4.52,4.66,4.59,4.79,4.63,4.86,4.56,1,1,0,0,1.39,0,0,1,0,Brooklyn
Wonderful living in 3B/3B Harlem Brownstone Duplex,100%,100%,1.0,1.0,t,Harlem,40.83111,-73.94228,12,3.0,4.0,$349.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,12,18,42,284,137,35,5,4.99,4.97,4.96,4.98,4.99,4.85,4.96,1,1,0,0,4.12,1,0,1,1,Manhattan
"20mins from Union Square:)Bushwick,Brooklyn,Lline",100%,97%,1.0,1.0,t,Bushwick,40.70641,-73.91752,2,1.0,1.0,$55.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,7,17,46,46,57,29,3,4.51,4.72,4.82,4.77,4.77,4.81,4.58,1,0,1,0,1.13,0,1,1,1,Brooklyn
Charming & Spacious 1Bd Garden Apt-Central Harlem,100%,100%,1.0,1.0,t,East Harlem,40.80976,-73.93915,2,1.0,1.0,$140.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,275,1,1,0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2,2,0,0,0.26,1,1,1,0,Manhattan
Beautiful 2 bedroom apartment in Park Slope!,100%,100%,2.0,2.0,t,South Slope,40.6641,-73.9833,3,2.0,2.0,$150.00 ,30,90,12.0,30.0,1125.0,1125.0,29.3,1125.0,1,7,29,29,7,1,0,4.67,5.0,4.67,4.67,5.0,5.0,4.83,2,1,1,0,0.13,0,0,1,0,Brooklyn
Greenwich/West Village Studio near Hudson River Greenway,100%,100%,183.0,183.0,t,West Village,40.73192,-74.00993,2,,1.0,$221.00 ,30,270,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,25,55,325,1,0,0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,90,90,0,0,0.03,0,1,1,1,Manhattan
Modern & Industrial LIC Accommodations,100%,87%,2.0,2.0,t,Long Island City,40.75522,-73.93651,2,1.0,1.0,$216.00 ,1,28,1.0,1.0,28.0,28.0,1.0,28.0,25,55,85,85,14,7,2,4.79,4.71,4.93,4.79,4.71,4.21,4.43,2,0,2,0,0.27,1,0,1,1,Queens
A Quiet stay in Harlem,50%,85%,7.0,7.0,t,Harlem,40.82366,-73.94514,1,1.0,1.0,$35.00 ,30,365,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,9,14,289,13,2,0,4.69,4.69,4.46,4.46,4.77,5.0,4.77,8,0,8,0,0.43,0,0,1,0,Manhattan
Large bedroom apartment  to rest,100%,100%,3.0,3.0,t,Clifton,40.61784,-74.0804,2,1.0,1.0,$65.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,6,36,66,340,11,11,0,4.73,4.73,4.45,4.91,4.91,4.27,4.82,3,0,3,0,7.02,0,1,1,1,Staten Island
Casa Estrella,100%,96%,1.0,1.0,t,Bushwick,40.70762,-73.92267,5,3.0,4.0,$182.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,6,13,33,242,146,30,4,4.84,4.92,4.73,4.88,4.95,4.9,4.81,1,1,0,0,2.82,1,1,1,0,Brooklyn
Private Cozy Room In Astoria,100%,100%,1.0,1.0,t,Ditmars Steinway,40.77202,-73.90791,2,1.0,2.0,$55.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,8,15,41,41,92,1,1,4.77,4.85,4.93,4.97,4.98,4.91,4.88,1,0,1,0,1.86,0,1,1,1,Queens
Fully furnished WALL ST STUDIO Apt.,100%,100%,1.0,1.0,t,Financial District,40.70695,-74.00815,2,1.0,,$79.00 ,90,750,90.0,90.0,1125.0,1125.0,90.0,1125.0,0,9,39,314,10,2,0,4.9,5.0,4.7,4.8,5.0,5.0,5.0,1,1,0,0,0.24,1,1,1,0,Manhattan
Super Spacious 2 bedroom apt in Midtown West,49%,63%,175.0,175.0,t,Hell's Kitchen,40.76411,-73.99371,5,2.0,3.0,$164.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,3,278,3,0,0,4.67,5.0,4.67,4.67,5.0,4.67,4.0,175,175,0,0,0.07,0,1,1,0,Manhattan
Delightful Brooklyn Studio,100%,100%,1.0,1.0,t,Crown Heights,40.6777,-73.94879,2,,1.0,$85.00 ,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,3,32,32,307,84,3,0,4.92,4.94,4.96,5.0,4.95,4.66,4.86,1,1,0,0,1.62,1,0,1,0,Brooklyn
Discounted - Entire Pre-War Home 1 Minute To Train,95%,99%,1.0,1.0,t,Flatbush,40.62927,-73.96345,3,1.0,1.0,$112.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,1,9,38,128,139,38,2,4.53,4.55,4.6,4.64,4.8,4.74,4.58,3,3,0,0,3.26,0,1,1,1,Brooklyn
Charming 2 bedroom apartment in Brooklyn,90%,66%,1.0,1.0,t,Bushwick,40.69111,-73.91141,4,2.0,3.0,$190.00 ,3,29,3.0,3.0,29.0,29.0,3.0,29.0,13,28,54,329,74,18,2,4.93,4.99,5.0,5.0,4.96,4.64,4.83,1,1,0,0,1.44,1,1,1,0,Brooklyn
tidy room with private full bath。,100%,82%,10.0,10.0,t,Flushing,40.75553,-73.81361,2,1.0,1.0,$58.00 ,3,29,3.0,3.0,1125.0,1125.0,3.0,1125.0,13,43,72,72,93,5,0,4.89,4.96,4.92,4.91,4.86,4.73,4.84,8,0,8,0,1.74,1,1,1,0,Queens
Comfy & Cozy In Brooklyn,100%,100%,6.0,6.0,t,Crown Heights,40.67313,-73.91539,2,1.0,1.0,$51.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,20,40,69,69,62,6,2,4.79,4.89,4.97,4.82,4.79,4.29,4.85,2,0,2,0,1.48,0,1,1,1,Brooklyn
Sunny Garden Apt in Historic Park Slope Brownstone,100%,93%,2.0,2.0,t,Park Slope,40.6782,-73.97699,3,1.0,2.0,$190.00 ,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,0,0,0,0,91,9,0,4.98,4.99,4.97,5.0,5.0,4.98,4.89,1,1,0,0,1.86,1,0,1,0,Brooklyn
Cozy spacious rooms with natural sunlight,100%,100%,1.0,1.0,t,Bedford-Stuyvesant,40.67954,-73.93486,1,1.0,1.0,$70.00 ,5,70,5.0,5.0,70.0,70.0,5.0,70.0,6,22,24,299,20,2,0,4.95,5.0,4.95,5.0,5.0,5.0,4.8,1,0,1,0,0.51,1,0,1,1,Brooklyn
Oriental Room in Upper Manhattan near Central Park,92%,75%,1.0,1.0,t,Harlem,40.80584,-73.95208,2,1.0,2.0,$79.00 ,2,1125,2.0,3.0,1125.0,1125.0,2.4,1125.0,6,7,29,29,147,22,2,4.57,4.69,4.39,4.75,4.69,4.79,4.59,1,0,1,0,2.78,0,1,1,0,Manhattan
Private room in a privately own 3 story brownstone,100%,25%,3.0,3.0,t,Bedford-Stuyvesant,40.69019,-73.93508,2,1.0,2.0,$65.00 ,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,0,0,0,0,13,0,0,4.75,4.83,4.75,4.92,5.0,4.58,4.58,3,0,3,0,0.35,1,1,1,0,Brooklyn
Seaport Water Front Private Studio,100%,94%,1.0,1.0,t,Financial District,40.70703,-74.00213,2,,2.0,$212.00 ,2,30,2.0,2.0,30.0,30.0,2.0,30.0,1,10,38,305,58,6,1,4.84,4.91,4.97,5.0,4.98,4.93,4.84,1,0,1,0,1.68,0,1,1,0,Manhattan
"Luxurious, Spacious Loft in Williamsburg",100%,75%,2.0,2.0,t,Williamsburg,40.70874,-73.96322,2,1.0,1.0,$360.00 ,5,90,5.0,5.0,90.0,90.0,5.0,90.0,15,15,15,15,44,2,0,4.8,4.91,4.93,4.98,4.89,4.91,4.7,1,1,0,0,0.81,1,0,1,0,Brooklyn
Spacious Manhattan 2 Bedroom  Sleeps 6,100%,89%,1.0,1.0,t,Harlem,40.80681,-73.95145,6,2.0,3.0,$350.00 ,3,30,3.0,3.0,1125.0,1125.0,3.0,1125.0,3,9,29,285,150,25,1,4.97,5.0,4.95,4.97,4.99,4.83,4.88,1,1,0,0,2.98,1,1,1,0,Manhattan
Urban jungle vibes in the Bronx,100%,93%,3.0,3.0,t,Schuylerville,40.83228,-73.834,1,1.0,1.0,$55.00 ,3,28,3.0,3.0,28.0,28.0,3.0,28.0,25,55,85,174,45,10,2,4.84,4.84,4.91,4.96,4.91,4.58,4.84,3,0,3,0,1.51,0,1,1,0,Bronx
2 bedroom w office and private backyard w grill,50%,100%,1.0,1.0,t,Williamsburg,40.71326,-73.95625,4,2.0,2.0,$180.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,45,0,0,4.95,5.0,4.93,4.95,5.0,4.95,4.9,1,1,0,0,0.99,1,1,1,0,Brooklyn
Beautiful 1 Bedroom in Charming Gramercy Neighborhood,100%,100%,183.0,183.0,t,Gramercy,40.73878,-73.9844,3,1.0,1.0,$281.00 ,30,270,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,26,56,326,2,0,0,5.0,5.0,5.0,5.0,4.5,3.5,3.5,90,90,0,0,0.09,0,1,1,1,Manhattan
"SUNNY,  2BD 1 Bath APT w Patio for monthly sublet.",100%,99%,6.0,6.0,t,Williamsburg,40.70808,-73.94943,4,2.0,3.0,$85.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,31,31,31,158,9,0,4.75,4.83,4.73,4.94,4.82,4.88,4.7,1,1,0,0,5.37,1,0,1,0,Brooklyn
Cozy room in Bayside Queens,100%,94%,3.0,3.0,t,Bayside,40.75622,-73.77036,2,1.0,1.0,$52.00 ,2,7,2.0,2.0,1125.0,1125.0,2.0,1125.0,4,30,59,59,145,29,4,4.77,4.82,4.86,4.88,4.76,4.7,4.75,3,0,3,0,3.05,1,1,1,0,Queens
Central Park View 5th Avenue,0%,,1.0,1.0,t,Midtown,40.76508,-73.97973,3,,2.0,$350.00 ,30,99,30.0,30.0,99.0,99.0,30.0,99.0,30,60,90,365,18,0,0,4.27,4.2,4.8,4.53,4.27,5.0,4.33,1,1,0,0,0.53,0,1,1,1,Manhattan
Central Park north spacious residence,100%,96%,2.0,2.0,t,Harlem,40.80219,-73.95272,2,1.0,1.0,$243.00 ,4,1125,3.0,4.0,60.0,1125.0,3.8,1044.9,11,14,42,292,56,18,2,4.86,4.89,4.96,4.81,4.89,4.56,4.7,1,1,0,0,1.05,1,1,1,0,Manhattan
Sunny bedroom off Prospect Park,100%,96%,3.0,3.0,t,Prospect-Lefferts Gardens,40.65505,-73.96134,2,1.0,1.0,$70.00 ,7,35,7.0,7.0,35.0,35.0,7.0,35.0,0,0,0,0,6,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.83,3,1,2,0,0.12,1,1,1,0,Brooklyn
"""WELCOME TO BROOKLYN"" PARK SIDE VIEW STUDIO APT",97%,94%,4.0,4.0,t,Bedford-Stuyvesant,40.69024,-73.94671,4,,2.0,$115.00 ,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,11,17,47,47,345,79,4,4.76,4.85,4.73,4.94,4.91,4.68,4.76,4,4,0,0,6.61,0,1,1,0,Brooklyn
"""HELLO BROOKLYN"" PARK SIDE VIEW NEWLY RENO APT.",97%,94%,4.0,4.0,t,Bedford-Stuyvesant,40.6884,-73.94714,4,,1.0,$115.00 ,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,16,26,56,56,292,64,2,4.8,4.89,4.75,4.96,4.93,4.66,4.78,4,4,0,0,5.52,0,1,1,0,Brooklyn
Cozy room across the street from the high bridge,100%,99%,6.0,6.0,t,Highbridge,40.84108,-73.92679,2,1.0,1.0,$54.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,9,30,55,330,158,34,1,4.6,4.79,4.5,4.78,4.8,4.36,4.65,2,0,2,0,3.65,0,0,1,0,Bronx
Deluxe Spacious One Bedroom In the Heart of NYC,100%,97%,2.0,2.0,t,Hell's Kitchen,40.75823,-73.99056,3,1.0,1.0,$122.00 ,30,152,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,9,9,190,62,13,0,4.56,4.66,4.54,4.74,4.52,4.85,4.66,1,1,0,0,1.64,0,1,1,0,Manhattan
"The Locals House // Best Location, Nicest Home",80%,62%,1.0,1.0,t,Rockaway Beach,40.58752,-73.81549,11,5.0,7.0,$645.00 ,2,300,1.0,3.0,300.0,300.0,2.0,300.0,23,53,83,348,82,30,2,4.96,4.9,4.89,4.98,4.93,4.93,4.81,1,1,0,0,11.28,1,1,1,0,Queens
Great  apartment ( W48 street ),49%,63%,175.0,175.0,t,Hell's Kitchen,40.76411,-73.99371,3,,,$90.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,4,14,289,9,3,0,4.44,4.89,4.78,4.89,4.56,4.56,4.33,175,175,0,0,0.43,0,1,1,0,Manhattan
Great Studio ( Midtown West 48th street),49%,63%,175.0,175.0,t,Hell's Kitchen,40.76411,-73.99371,3,,1.0,$125.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,25,55,330,9,1,0,4.33,4.56,4.22,4.44,4.44,4.78,4.22,175,175,0,0,0.34,0,1,1,0,Manhattan
Studio in Midtown West ( W48th  Street ),49%,63%,175.0,175.0,t,Hell's Kitchen,40.76411,-73.99371,3,,1.0,$125.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,19,49,79,354,10,3,0,4.56,4.67,4.67,4.33,4.0,4.78,4.67,175,175,0,0,0.2,0,1,1,0,Manhattan
Manhattan Private room elevator building sofabed,100%,100%,6.0,6.0,t,East Harlem,40.80136,-73.94191,1,1.0,1.0,$50.00 ,14,1125,14.0,14.0,1125.0,1125.0,14.0,1125.0,1,1,17,292,50,6,0,4.86,4.92,4.72,4.88,4.96,4.68,4.78,2,0,2,0,1.17,1,1,1,1,Manhattan
Beautiful bedroom in Quiet House,100%,100%,2.0,2.0,t,Flushing,40.74214,-73.82994,2,1.0,2.0,$37.00 ,3,7,3.0,3.0,7.0,7.0,3.0,7.0,3,3,3,3,179,39,2,4.87,4.93,4.69,4.94,4.94,4.74,4.9,1,0,1,0,3.34,1,1,1,1,Queens
Cozy bohemian inspired room in the Bronx,100%,93%,3.0,3.0,t,Schuylerville,40.83244,-73.83363,1,1.0,1.0,$50.00 ,3,28,3.0,3.0,28.0,28.0,3.0,28.0,25,55,85,174,60,15,1,4.97,4.98,4.95,5.0,5.0,4.75,4.95,3,0,3,0,5.41,0,1,1,0,Bronx
Private Bathroom & Communal Cat in Large Sunny Apt,100%,100%,2.0,2.0,t,Williamsburg,40.70756,-73.93963,2,1.0,1.0,$95.00 ,2,25,1.0,2.0,1125.0,1125.0,1.9,1125.0,0,0,0,0,92,5,0,4.77,4.89,4.21,4.99,4.99,4.88,4.78,2,0,2,0,2.41,1,1,1,0,Brooklyn
Cozy Studio Apartment with Spacious Backyard!,100%,85%,1.0,1.0,t,East New York,40.66728,-73.89013,2,1.0,1.0,$112.00 ,2,29,1.0,2.0,1125.0,1125.0,1.4,1125.0,22,43,71,71,217,36,2,4.91,4.94,4.94,4.95,4.98,4.63,4.81,1,1,0,0,4.46,1,0,1,0,Brooklyn
The Blurple Mansion - Childlike Charm,100%,97%,1.0,1.0,t,Tompkinsville,40.62775,-74.08408,2,1.0,1.0,$92.00 ,1,1125,1.0,2.0,1125.0,1125.0,1.1,1125.0,0,2,32,121,24,15,0,5.0,5.0,4.96,5.0,5.0,4.96,4.96,1,1,0,0,1.2,1,1,1,0,Staten Island
Sunny Carroll Gardens Share: Suite or Workspace,100%,75%,1.0,1.0,t,Carroll Gardens,40.67837,-73.9947,2,1.0,1.0,$79.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,0,247,109,3,0,4.87,4.92,4.84,4.99,4.97,5.0,4.85,1,0,1,0,2.01,1,1,1,0,Brooklyn
