host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,dmy_Hotel room,dmy_Private room,dmy_Shared room,Borough
100%,90%,2.0,2.0,t,Washington Heights,40.83334,-73.94148,1,1.0,1.0,$44.00 ,30,60,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,33,63,63,22,7,1,4.91,4.95,4.86,5.0,5.0,4.91,4.91,2,0,2,0,0.72,1,0,1,1,0,1,0,Manhattan
100%,92%,3.0,3.0,t,East Elmhurst,40.76874,-73.87813,8,2.0,3.0,$107.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,8,8,8,159,347,71,4,4.62,4.67,4.55,4.86,4.86,4.73,4.7,3,3,0,0,10.01,0,1,1,0,0,0,0,Queens
100%,50%,2.0,2.0,t,Kingsbridge,40.879,-73.90223,2,1.0,2.0,$45.00 ,7,1120,7.0,7.0,1120.0,1120.0,7.0,1120.0,0,0,0,216,3,0,0,4.0,4.67,3.67,4.67,4.67,4.0,4.33,2,0,2,0,0.08,0,1,1,0,0,1,0,Bronx
100%,94%,1.0,1.0,t,Bedford-Stuyvesant,40.68786,-73.92713,4,2.0,2.0,$162.00 ,4,28,3.0,4.0,1125.0,1125.0,3.4,1125.0,12,29,30,30,98,24,3,4.93,4.94,4.96,4.97,4.99,4.73,4.92,1,1,0,0,2.51,1,1,1,0,0,0,0,Brooklyn
100%,100%,1.0,1.0,t,Long Island City,40.75168,-73.94023,4,1.0,1.0,$275.00 ,1,4,1.0,1.0,4.0,4.0,1.0,4.0,4,7,7,7,4,0,0,5.0,5.0,4.75,4.75,5.0,5.0,5.0,1,1,0,0,0.15,0,1,1,0,0,0,0,Queens
100%,86%,3.0,3.0,t,Upper East Side,40.76599,-73.96752,5,1.0,4.0,$500.00 ,30,180,30.0,30.0,180.0,180.0,30.0,180.0,14,14,14,14,29,2,0,4.93,4.93,4.83,4.93,4.97,4.93,4.79,3,3,0,0,0.9,1,1,1,0,0,0,0,Manhattan
100%,100%,1.0,1.0,t,Gramercy,40.73655,-73.98787,2,1.0,1.0,$114.00 ,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,0,15,15,15,49,11,1,4.94,4.96,4.9,4.96,4.98,4.96,4.8,1,1,0,0,1.81,0,1,1,1,0,0,0,Manhattan
100%,96%,2.0,2.0,t,Upper East Side,40.77741,-73.96258,6,2.0,2.0,$479.00 ,3,1125,2.0,3.0,1125.0,1125.0,3.0,1125.0,6,8,25,142,133,46,2,4.84,4.8,4.91,4.93,4.91,4.97,4.71,1,1,0,0,3.36,1,0,1,1,0,0,0,Manhattan
100%,100%,3.0,3.0,t,Midtown,40.75847,-73.96579,1,1.0,1.0,$165.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,1,0,0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,1,0,0,1,0.04,0,1,1,1,0,0,1,Manhattan
100%,88%,1.0,1.0,t,Bushwick,40.6971,-73.90892,4,1.0,1.0,$99.00 ,3,30,3.0,3.0,1125.0,1125.0,3.0,1125.0,1,1,1,1,47,18,1,4.87,4.87,4.58,4.96,4.96,4.69,4.84,1,1,0,0,1.18,0,1,1,0,0,0,0,Brooklyn
100%,97%,3.0,3.0,t,Bushwick,40.68714,-73.91556,7,3.0,4.0,$199.00 ,3,365,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,0,0,125,94,38,0,4.64,4.7,4.66,4.83,4.85,4.64,4.64,2,2,0,0,2.39,0,1,1,0,0,0,0,Brooklyn
83%,100%,2.0,2.0,t,Bedford-Stuyvesant,40.68151,-73.95292,4,2.0,1.0,$175.00 ,30,300,30.0,30.0,300.0,300.0,30.0,300.0,0,23,53,143,7,2,0,3.43,4.17,4.0,4.43,4.5,4.33,3.83,2,2,0,0,0.23,0,1,1,0,0,0,0,Brooklyn
100%,98%,6.0,6.0,t,Edenwald,40.89077,-73.83536,11,3.0,5.0,$150.00 ,2,15,2.0,2.0,15.0,15.0,2.0,15.0,0,0,0,0,119,27,0,4.74,4.83,4.81,4.9,4.91,4.78,4.76,1,1,0,0,3.2,0,0,1,0,0,0,0,Bronx
10%,27%,2.0,2.0,t,Prospect-Lefferts Gardens,40.66111,-73.94791,4,1.0,2.0,$300.00 ,5,1125,1.0,5.0,1125.0,1125.0,2.4,1125.0,0,0,0,145,11,0,0,5.0,4.82,4.73,4.82,4.91,4.73,4.91,2,1,1,0,0.28,0,1,1,0,0,1,0,Brooklyn
0%,0%,1.0,1.0,t,Crown Heights,40.67665,-73.91814,2,2.0,3.0,$160.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,28,58,88,363,2,0,0,3.5,3.5,4.5,3.0,4.0,4.0,4.5,1,1,0,0,0.08,0,1,1,0,0,0,0,Brooklyn
90%,93%,1.0,1.0,t,Red Hook,40.67887,-74.00785,3,2.0,2.0,$221.00 ,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,1,2,32,91,70,28,1,4.87,4.97,4.83,4.81,4.93,4.6,4.79,1,1,0,0,2.68,1,1,1,1,0,0,0,Brooklyn
100%,100%,0.0,0.0,t,Midwood,40.62223,-73.95626,2,1.0,1.0,$75.00 ,2,28,2.0,2.0,28.0,28.0,2.0,28.0,0,0,0,79,4,4,4,4.0,4.5,3.75,4.25,4.5,4.5,4.25,1,0,1,0,4.0,0,0,1,1,0,1,0,Brooklyn
100%,21%,13.0,13.0,t,Midtown,40.75056,-73.97161,4,,2.0,$130.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,8,32,61,151,3,1,0,4.33,4.67,4.33,5.0,5.0,5.0,4.67,7,4,3,0,0.07,0,1,1,0,0,1,0,Manhattan
100%,50%,2.0,2.0,t,Longwood,40.81512,-73.90035,1,1.0,1.0,$59.00 ,30,30,30.0,30.0,30.0,30.0,30.0,30.0,29,59,89,364,9,0,0,4.67,4.44,4.78,4.78,4.78,4.56,4.44,2,1,1,0,0.22,0,1,1,0,0,0,0,Bronx
0%,0%,1.0,1.0,t,Brooklyn Heights,40.69271,-73.99485,6,3.0,4.0,$314.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,32,62,242,5,0,0,5.0,4.75,5.0,5.0,5.0,5.0,4.5,1,1,0,0,0.18,0,1,1,0,0,0,0,Brooklyn
50%,,2.0,2.0,t,Sheepshead Bay,40.58457,-73.93949,2,1.0,1.0,$86.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0,2,0,0.02,0,1,1,1,0,1,0,Brooklyn
47%,73%,1.0,1.0,t,Williamsburg,40.70866,-73.93888,2,1.0,4.0,$128.00 ,30,60,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,32,32,32,31,0,0,4.45,4.26,4.35,4.29,4.48,4.58,4.35,2,0,2,0,0.99,0,0,1,1,0,1,0,Brooklyn
100%,100%,3.0,3.0,t,Tribeca,40.71745,-74.00385,2,1.0,1.0,$199.00 ,21,45,21.0,21.0,21.0,45.0,21.0,44.9,0,22,22,107,7,2,0,4.86,4.86,4.86,5.0,5.0,5.0,4.43,3,3,0,0,0.18,1,1,1,0,0,0,0,Manhattan
100%,100%,1.0,1.0,t,Rego Park,40.73057,-73.86693,2,1.0,1.0,$50.00 ,31,31,31.0,31.0,1125.0,1125.0,31.0,1125.0,0,27,57,147,40,2,0,4.93,4.83,4.98,4.73,4.9,4.88,4.85,1,0,1,0,0.97,1,0,1,0,0,1,0,Queens
100%,100%,2.0,2.0,t,Lower East Side,40.7187,-73.98566,4,2.0,2.0,$198.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,18,48,323,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,1,1,0,0.17,1,1,1,1,0,0,0,Manhattan
100%,90%,2.0,2.0,t,Washington Heights,40.83458,-73.94191,1,1.0,1.0,$70.00 ,30,60,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,29,59,149,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0,2,0,0.03,1,0,1,1,0,1,0,Manhattan
100%,,1.0,1.0,t,Crown Heights,40.6697,-73.93334,4,,2.0,$86.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,15,15,44,44,118,0,0,4.89,4.94,4.88,4.94,4.94,4.47,4.89,1,1,0,0,2.96,1,1,1,0,0,0,0,Brooklyn
74%,48%,23.0,23.0,t,Bushwick,40.686,-73.91567,2,1.0,1.0,$36.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,32,62,337,7,0,0,3.86,4.0,4.14,4.14,4.0,4.29,4.14,23,6,17,0,0.29,0,1,1,0,0,1,0,Brooklyn
100%,95%,1.0,1.0,t,East Harlem,40.7882,-73.94741,2,1.0,2.0,$80.00 ,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,1,1,1,2,87,18,3,4.87,4.82,4.86,4.78,4.93,4.83,4.82,1,1,0,0,2.35,1,1,1,0,0,0,0,Manhattan
100%,50%,2.0,2.0,t,Longwood,40.81541,-73.90144,1,1.0,1.0,$30.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,18,48,78,352,62,0,0,4.8,4.82,4.62,4.61,4.84,4.77,4.9,2,1,1,0,2.09,0,1,1,0,0,1,0,Bronx
100%,100%,2.0,2.0,t,Belle Harbor,40.57666,-73.85002,4,2.0,2.0,$120.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,24,54,84,359,47,4,0,4.96,4.94,4.85,4.98,4.98,5.0,4.83,2,1,1,0,3.49,1,1,1,0,0,1,0,Queens
98%,85%,101.0,101.0,t,Midtown,40.74625,-73.98065,2,,1.0,$120.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,1,22,52,327,6,2,0,5.0,5.0,4.83,5.0,5.0,5.0,5.0,101,101,0,0,0.18,0,1,1,0,0,0,0,Manhattan
99%,48%,6.0,6.0,t,West Village,40.73088,-74.00328,6,3.0,5.0,$329.00 ,3,30,3.0,3.0,30.0,30.0,3.0,30.0,0,1,31,31,2,0,0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,5,5,0,0,0.08,1,1,1,0,0,0,0,Manhattan
100%,100%,3.0,3.0,t,Upper West Side,40.78623,-73.97605,2,1.0,1.0,$49.00 ,60,1125,60.0,60.0,1125.0,1125.0,60.0,1125.0,0,0,0,186,28,0,0,4.71,4.82,4.79,4.79,4.89,4.93,4.64,3,1,2,0,0.94,1,1,1,0,0,1,0,Manhattan
25%,27%,2.0,2.0,t,Williamsburg,40.71717,-73.9571,1,1.0,1.0,$80.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,21,21,45,45,25,1,0,4.64,4.82,4.64,4.77,4.77,5.0,4.64,2,1,1,0,0.65,0,1,1,0,0,1,0,Brooklyn
100%,98%,3.0,3.0,t,Midwood,40.62441,-73.96072,3,1.0,4.0,$83.00 ,2,100,2.0,2.0,1125.0,1125.0,2.0,1125.0,3,24,53,328,18,12,0,4.78,4.83,4.83,4.89,4.78,4.72,4.72,3,3,0,0,0.59,1,1,1,0,0,0,0,Brooklyn
67%,,1.0,1.0,t,West Village,40.73416,-74.01096,2,1.0,1.0,$195.00 ,30,45,30.0,30.0,45.0,45.0,30.0,45.0,4,34,64,64,2,0,0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,1,1,0,0,0.05,0,1,1,0,0,0,0,Manhattan
0%,,1.0,1.0,t,Harlem,40.80959,-73.94377,4,1.0,5.0,$225.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,1,1,8,0,0,5.0,5.0,5.0,5.0,5.0,4.88,5.0,1,0,0,1,0.22,0,1,1,0,0,0,1,Manhattan
100%,100%,2.0,2.0,t,Rockaway Beach,40.58746,-73.80084,8,3.0,4.0,$309.00 ,3,28,1.0,3.0,1125.0,1125.0,3.0,1125.0,25,45,45,45,62,23,1,4.9,4.98,4.97,5.0,5.0,4.95,4.84,1,1,0,0,1.52,1,1,1,0,0,0,0,Queens
100%,83%,7.0,7.0,t,Upper East Side,40.76418,-73.96742,1,,1.0,$108.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,15,45,75,75,6,0,0,4.83,5.0,5.0,4.83,4.83,5.0,4.83,7,7,0,0,0.21,1,1,1,0,0,0,0,Manhattan
100%,,1.0,1.0,t,Bedford-Stuyvesant,40.67893,-73.90951,2,1.0,1.0,$60.00 ,30,31,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,13,43,43,6,0,0,5.0,4.33,5.0,5.0,5.0,5.0,5.0,1,0,1,0,0.19,0,0,1,0,0,1,0,Brooklyn
100%,95%,0.0,0.0,t,Williamsburg,40.70794,-73.93511,5,1.0,1.0,$245.00 ,3,30,2.0,3.0,1125.0,1125.0,2.6,1125.0,11,39,69,69,41,23,4,4.85,4.8,4.73,4.98,4.93,4.95,4.76,1,1,0,0,1.45,0,1,1,0,0,0,0,Brooklyn
100%,100%,4.0,4.0,t,Ridgewood,40.70524,-73.90222,2,1.0,1.0,$159.00 ,3,28,3.0,3.0,28.0,28.0,3.0,28.0,30,60,90,90,19,1,0,4.37,4.26,4.68,4.79,4.21,4.58,4.16,3,3,0,0,0.55,0,1,1,0,0,0,0,Queens
90%,54%,2.0,2.0,t,Washington Heights,40.84421,-73.94113,2,1.0,1.0,$53.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,16,46,321,20,2,0,4.55,4.55,4.0,4.65,4.65,4.6,4.55,2,0,2,0,0.58,0,0,1,0,0,1,0,Manhattan
100%,29%,1.0,1.0,t,SoHo,40.72151,-74.00019,2,1.0,1.0,$116.00 ,1,1124,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,0,116,0,0,4.75,4.81,4.75,4.97,4.95,4.91,4.74,1,0,1,0,3.26,0,1,1,1,0,1,0,Manhattan
71%,84%,2.0,2.0,t,Williamsburg,40.71397,-73.94185,4,2.0,2.0,$170.00 ,2,25,2.0,4.0,25.0,25.0,2.3,25.0,14,19,40,83,112,29,3,4.54,4.66,4.6,4.96,4.87,4.85,4.52,2,2,0,0,2.97,0,1,1,0,0,0,0,Brooklyn
100%,92%,1.0,1.0,t,Williamsburg,40.71618,-73.94071,8,4.0,5.0,$585.00 ,3,90,2.0,3.0,1125.0,1125.0,3.0,1125.0,9,15,45,73,55,16,3,4.89,4.91,4.87,4.98,4.91,4.85,4.8,1,1,0,0,2.22,0,1,1,0,0,0,0,Brooklyn
100%,100%,2.0,2.0,t,Woodside,40.74068,-73.89156,2,1.0,1.0,$50.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,275,100,0,0,4.72,4.76,4.78,4.89,4.95,4.85,4.71,2,0,2,0,2.64,1,0,1,0,0,1,0,Queens
40%,8%,4.0,4.0,t,East Village,40.72598,-73.97582,2,1.0,1.0,$180.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,12,32,62,337,24,1,0,4.78,4.78,4.52,4.74,4.91,4.78,4.7,4,0,4,0,0.63,0,1,1,0,0,1,0,Manhattan
100%,96%,4.0,4.0,t,East Flatbush,40.64962,-73.93692,3,1.0,3.0,$46.00 ,3,25,3.0,3.0,1125.0,1125.0,3.0,1125.0,1,7,35,310,75,21,1,4.85,4.89,4.79,4.99,4.93,4.65,4.88,3,0,3,0,1.89,1,1,1,1,0,1,0,Brooklyn
90%,68%,3.0,3.0,t,Queens Village,40.72183,-73.73607,2,1.0,1.0,$105.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,10,10,10,59,6,0,4.81,4.98,4.89,4.81,4.93,4.79,4.79,3,3,0,0,1.56,0,0,1,0,0,0,0,Queens
100%,100%,0.0,0.0,t,Stuyvesant Town,40.7303,-73.97875,2,1.0,1.0,$89.00 ,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,0,0,16,196,8,8,2,5.0,5.0,4.88,5.0,5.0,5.0,4.88,1,0,1,0,7.06,1,1,1,0,0,1,0,Manhattan
100%,95%,1.0,1.0,t,Queens Village,40.71136,-73.74145,2,1.0,1.0,$97.00 ,2,21,2.0,2.0,21.0,21.0,2.0,21.0,19,49,79,168,108,32,1,4.9,4.94,4.88,4.95,4.98,4.85,4.83,1,1,0,0,2.82,1,0,1,0,0,0,0,Queens
100%,100%,1.0,1.0,t,West Village,40.73254,-74.00371,3,1.0,1.0,$223.00 ,30,1125,30.0,90.0,1125.0,1125.0,54.9,1125.0,19,49,79,354,28,4,0,4.96,5.0,4.96,5.0,5.0,5.0,4.82,1,1,0,0,0.71,1,1,1,0,0,0,0,Manhattan
100%,94%,4.0,4.0,t,Bedford-Stuyvesant,40.69492,-73.93883,1,1.0,1.0,$95.00 ,2,90,2.0,2.0,90.0,90.0,2.0,90.0,28,58,88,363,11,2,1,5.0,4.91,5.0,4.91,5.0,4.82,4.91,4,0,4,0,0.3,1,1,1,0,0,1,0,Brooklyn
100%,100%,1.0,1.0,t,Park Slope,40.67707,-73.97505,4,2.0,3.0,$446.00 ,3,29,2.0,3.0,1125.0,1125.0,3.0,1125.0,9,16,46,123,154,42,3,4.96,4.98,4.94,4.95,4.94,4.96,4.78,1,1,0,0,3.9,1,0,1,0,0,0,0,Brooklyn
100%,95%,1.0,1.0,t,Upper West Side,40.79986,-73.96841,3,2.0,2.0,$197.00 ,7,30,7.0,7.0,30.0,30.0,7.0,30.0,3,7,37,37,35,5,0,4.74,4.85,4.56,5.0,4.85,4.97,4.71,1,1,0,0,0.94,0,1,1,0,0,0,0,Manhattan
100%,100%,1.0,1.0,t,Bushwick,40.69911,-73.91277,4,,2.0,$193.00 ,2,21,2.0,3.0,1125.0,1125.0,2.1,1125.0,22,52,82,172,126,23,4,4.92,4.99,4.79,4.99,4.98,4.85,4.83,1,1,0,0,3.24,1,1,1,0,0,0,0,Brooklyn
100%,80%,1.0,1.0,t,Harlem,40.8284,-73.93931,1,1.0,1.0,$64.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,12,42,42,29,2,0,4.86,4.9,4.76,4.86,4.97,4.86,4.79,1,0,1,0,0.79,1,1,1,0,0,1,0,Manhattan
100%,50%,1.0,1.0,t,Harlem,40.80207,-73.95202,2,1.0,1.0,$65.00 ,30,30,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0,2,0,0.09,0,1,1,0,0,1,0,Manhattan
75%,97%,1.0,1.0,t,Canarsie,40.64674,-73.89299,1,1.0,1.0,$30.00 ,2,7,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,93,9,0,4.67,4.77,4.53,4.69,4.72,4.47,4.73,1,0,1,0,2.39,0,1,1,0,0,1,0,Brooklyn
100%,63%,163.0,163.0,t,Harlem,40.81283,-73.94194,1,1.0,1.0,$45.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,3,33,308,9,1,0,4.89,5.0,4.78,5.0,5.0,5.0,4.78,163,34,129,0,0.26,0,1,1,0,0,1,0,Manhattan
100%,63%,163.0,163.0,t,Harlem,40.81306,-73.94232,1,1.0,1.0,$44.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,8,38,68,343,8,2,0,4.75,4.88,4.5,5.0,5.0,4.88,4.75,163,34,129,0,0.24,0,1,1,0,0,1,0,Manhattan
100%,100%,6.0,6.0,t,Sunnyside,40.73517,-73.92008,2,1.0,1.0,$61.00 ,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,5,35,65,340,28,14,1,4.32,4.46,4.11,4.68,4.57,4.64,4.43,6,0,6,0,21.0,0,1,1,1,0,1,0,Queens
100%,100%,6.0,6.0,t,Sunnyside,40.73492,-73.91991,2,1.0,1.0,$61.00 ,1,27,1.0,1.0,1125.0,1125.0,1.0,1125.0,16,29,59,334,43,14,3,4.47,4.65,4.35,4.86,4.84,4.7,4.49,6,0,6,0,1.47,0,1,1,1,0,1,0,Queens
90%,91%,3.0,3.0,t,East Flatbush,40.63764,-73.93239,4,1.0,2.0,$125.00 ,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,19,49,79,354,100,16,1,4.71,4.74,4.83,4.86,4.7,4.59,4.69,2,2,0,0,2.47,0,1,1,1,0,0,0,Brooklyn
50%,85%,7.0,7.0,t,Harlem,40.82168,-73.9458,1,1.0,1.0,$40.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,0,0,2,0,0,5.0,5.0,5.0,4.5,5.0,4.0,5.0,8,0,8,0,0.09,0,0,1,0,0,1,0,Manhattan
100%,100%,1.0,1.0,t,Bedford-Stuyvesant,40.68321,-73.91979,8,5.0,8.0,$400.00 ,30,360,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,334,82,3,0,4.79,4.84,4.8,4.85,4.91,4.54,4.77,1,1,0,0,2.1,0,1,1,0,0,0,0,Brooklyn
80%,46%,0.0,0.0,t,Chinatown,40.71535,-73.9921,4,,1.0,$175.00 ,8,1125,8.0,8.0,1125.0,1125.0,8.0,1125.0,8,13,15,193,12,2,0,4.82,4.82,4.82,4.64,4.91,4.91,4.55,2,2,0,0,0.31,1,1,1,0,0,0,0,Manhattan
100%,52%,1.0,1.0,t,Upper West Side,40.78071,-73.97944,1,1.0,,$66.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,20,50,80,355,41,3,0,4.74,4.74,4.87,4.76,4.95,5.0,4.68,1,0,0,1,1.49,0,0,1,0,0,0,1,Manhattan
100%,70%,2.0,2.0,t,Prospect-Lefferts Gardens,40.66135,-73.94381,2,1.0,1.0,$80.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,19,19,138,6,0,4.87,4.9,4.8,4.96,4.96,4.73,4.82,1,0,1,0,3.42,1,1,1,1,0,1,0,Brooklyn
100%,97%,3.0,3.0,t,Brownsville,40.66513,-73.91682,2,1.0,1.0,$50.00 ,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,15,45,75,350,17,7,2,4.29,4.47,4.53,4.65,4.41,4.29,4.35,2,0,2,0,0.49,0,0,1,1,0,1,0,Brooklyn
100%,100%,1.0,1.0,t,Upper West Side,40.79289,-73.97665,2,1.0,1.0,$112.00 ,2,6,2.0,2.0,6.0,6.0,2.0,6.0,2,6,36,36,140,53,7,4.75,4.86,4.67,4.9,4.88,4.91,4.74,1,1,0,0,3.62,1,1,1,1,0,0,0,Manhattan
91%,99%,4.0,4.0,t,Bushwick,40.68934,-73.90619,2,1.0,1.0,$46.00 ,3,28,3.0,3.0,28.0,28.0,3.0,28.0,0,1,1,1,92,0,0,4.75,4.89,4.62,4.89,4.77,4.71,4.87,4,0,4,0,2.24,0,1,1,0,0,1,0,Brooklyn
0%,,1.0,1.0,t,Hell's Kitchen,40.76473,-73.98896,1,1.0,1.0,$69.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,29,0,0,4.03,4.21,3.93,4.86,4.62,4.93,4.34,1,0,0,1,0.76,0,1,1,0,0,0,1,Manhattan
100%,98%,1987.0,1987.0,t,Upper East Side,40.77554,-73.95662,2,,1.0,$264.00 ,30,1125,31.0,730.0,1125.0,1125.0,704.6,1125.0,0,0,0,228,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,304,304,0,0,0.03,0,1,1,1,0,0,0,Manhattan
0%,,1.0,1.0,t,Rego Park,40.72728,-73.85563,2,1.0,1.0,$40.00 ,30,30,30.0,30.0,30.0,30.0,30.0,30.0,0,0,0,30,43,0,0,4.79,4.81,4.93,4.88,4.9,4.86,4.88,1,0,1,0,1.08,0,1,1,0,0,1,0,Queens
100%,67%,1.0,1.0,t,Sunnyside,40.74291,-73.9158,1,1.0,,$38.00 ,2,35,2.0,2.0,35.0,35.0,2.0,35.0,0,29,59,59,1,0,0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1,0,1,0,0.05,0,0,1,0,0,1,0,Queens
25%,27%,2.0,2.0,t,Williamsburg,40.71768,-73.95878,2,1.0,1.0,$99.00 ,30,180,30.0,30.0,180.0,180.0,30.0,180.0,1,1,1,64,20,0,0,4.63,4.84,4.47,4.84,4.79,4.89,4.63,2,1,1,0,0.69,0,1,1,0,0,0,0,Brooklyn
100%,60%,1.0,1.0,t,Harlem,40.79918,-73.95279,1,1.0,1.0,$60.00 ,4,5,4.0,4.0,5.0,5.0,4.0,5.0,0,0,0,275,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,0.5,0,1,1,0,0,1,0,Manhattan
100%,96%,5.0,5.0,t,Elmhurst,40.74362,-73.88171,1,1.0,1.0,$45.00 ,6,30,6.0,6.0,30.0,30.0,6.0,30.0,4,11,40,315,69,17,2,4.99,5.0,5.0,5.0,4.99,4.93,4.96,5,0,5,0,1.79,1,0,1,0,0,1,0,Queens
80%,83%,2.0,2.0,t,Upper East Side,40.77497,-73.94784,1,1.0,1.0,$73.00 ,120,365,120.0,120.0,365.0,365.0,120.0,365.0,29,59,89,364,4,0,0,4.25,4.0,4.25,4.25,4.25,4.75,4.5,3,1,2,0,0.11,0,1,1,0,0,1,0,Manhattan
100%,63%,163.0,163.0,t,East Harlem,40.79277,-73.94161,1,1.0,1.0,$44.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,32,62,337,6,1,0,4.67,4.67,4.67,5.0,5.0,4.5,4.67,163,34,129,0,0.31,0,1,1,0,0,1,0,Manhattan
100%,63%,163.0,163.0,t,Harlem,40.81091,-73.9416,1,1.0,1.0,$42.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,28,58,333,4,2,1,4.5,5.0,4.25,5.0,5.0,5.0,4.75,163,34,129,0,0.15,0,1,1,0,0,1,0,Manhattan
100%,100%,1.0,1.0,t,Jamaica Estates,40.71258,-73.78952,4,2.0,4.0,$100.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,17,47,322,25,0,0,4.6,4.8,4.44,4.92,5.0,4.8,4.52,1,1,0,0,0.67,0,1,1,1,0,0,0,Queens
91%,99%,4.0,4.0,t,Bushwick,40.68926,-73.90803,2,1.0,1.0,$47.00 ,3,28,3.0,3.0,28.0,28.0,3.0,28.0,6,6,33,33,108,22,1,4.66,4.78,4.65,4.87,4.76,4.67,4.79,4,0,4,0,2.7,0,1,1,1,0,1,0,Brooklyn
75%,0%,1.0,1.0,t,Bedford-Stuyvesant,40.68282,-73.92604,4,3.0,3.0,$275.00 ,10,75,10.0,10.0,75.0,75.0,10.0,75.0,18,27,50,230,2,0,0,0.0,,,,,,,1,1,0,0,0.09,0,1,1,0,0,0,0,Brooklyn
