host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,dmy_Hotel room,dmy_Private room,dmy_Shared room,Borough
0%,0%,2.0,2.0,t,Chelsea,40.74187,-74.00223,2,1.0,1.0,$85.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,1,31,61,336,36,0,0,4.97,4.97,4.8,5.0,5.0,5.0,4.91,2,0,2,0,0.51,0,1,1,0,0,1,0,Manhattan
95%,47%,5.0,5.0,t,Carroll Gardens,40.67747,-74.00146,2,1.0,1.0,$180.00 ,3,45,2.0,7.0,45.0,45.0,3.2,45.0,14,44,74,349,272,13,2,4.7,4.84,4.87,4.84,4.73,4.65,4.68,3,3,0,0,2.8,0,1,1,0,0,0,0,Brooklyn
100%,89%,2.0,2.0,t,West Village,40.72961,-74.00308,4,3.0,3.0,$500.00 ,7,29,7.0,7.0,29.0,29.0,7.0,29.0,3,8,38,217,52,3,0,4.43,4.71,4.27,4.49,4.76,4.98,4.56,2,1,1,0,0.51,1,1,1,0,0,0,0,Manhattan
100%,0%,1.0,1.0,t,Harlem,40.8104,-73.94309,2,1.0,1.0,$100.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,275,190,0,0,4.75,4.85,4.67,4.92,4.88,4.65,4.73,1,0,1,0,2.17,0,1,1,0,0,1,0,Manhattan
100%,98%,2.0,2.0,t,Hell's Kitchen,40.75603,-73.99294,1,1.0,1.0,$89.00 ,2,25,2.0,2.0,1125.0,1125.0,2.0,1125.0,4,19,33,274,412,38,3,4.53,4.62,4.69,4.84,4.82,4.84,4.64,2,0,2,0,3.64,1,1,1,0,0,1,0,Manhattan
100%,100%,2.0,2.0,t,South Slope,40.6686,-73.98723,3,1.0,1.0,$90.00 ,30,365,30.0,30.0,1125.0,1125.0,30.0,1125.0,1,1,2,144,476,5,0,4.93,4.95,4.96,4.98,4.98,4.89,4.91,2,2,0,0,4.09,1,1,1,1,0,0,0,Brooklyn
100%,,1.0,1.0,t,Upper West Side,40.77839,-73.97778,4,2.0,3.0,$225.00 ,30,30,30.0,30.0,30.0,30.0,30.0,30.0,0,15,15,222,28,0,0,4.6,4.47,4.47,4.8,4.87,4.87,4.4,1,1,0,0,0.37,0,1,1,0,0,0,0,Manhattan
100%,94%,1.0,1.0,t,Harlem,40.82682,-73.94948,6,1.0,1.0,$170.00 ,2,20,2.0,2.0,20.0,20.0,2.0,20.0,8,19,49,324,215,7,0,4.76,4.76,4.87,4.91,4.89,4.64,4.71,1,1,0,0,1.76,1,1,1,0,0,0,0,Manhattan
100%,,1.0,1.0,t,East Village,40.72421,-73.98509,3,,2.0,$100.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,0,0,25,0,0,4.85,4.63,4.79,5.0,4.89,4.79,4.74,1,1,0,0,0.2,0,1,1,0,0,0,0,Manhattan
67%,0%,1.0,1.0,t,Prospect-Lefferts Gardens,40.6545,-73.96071,2,2.0,,$75.00 ,2,1095,2.0,2.0,1095.0,1095.0,2.0,1095.0,0,0,24,299,9,0,0,4.14,4.17,3.83,4.33,4.33,4.67,4.17,1,0,1,0,0.06,0,1,1,0,0,1,0,Brooklyn
